Название,Тип заведения,Средний чек,Адресс
Столовая,Столовые,Средний чек 1000 тнг,"Толе би, 303, Алматы"
Yummy Chiken Fried,кафе быстрого питания,,"Алатау, 8а, пос. Боралдай, Илийский район, Алматинская область"
Лагманная,Кафе,Бизнес-ланч,"Макатаева, 86, с. Абай, Карасайский район, Алматинская область"
Pizza Italiano,пиццерия,,"ТРЦ SPUTNIK mall, микрорайон Мамыр 1, 8а, Алматы"
Huseinoff,столовая,,"проспект Суюнбая, 419а, Алматы"
Додо Пицца,сеть пиццерий,Доставка,"Бокина, 2, Талгар, Талгарский район, Алматинская область"
Назали,кафе,,"проспект Райымбека, 542/1, Алматы"
Кафе быстрого питания,Быстрое питание,,"микрорайон Аксай 4, 111 киоск, Алматы"
Sultan,ресторан,,"проспект Абылай хана, 293, Каскелен, Карасайский район, Алматинская область"
Кафе быстрого питания,Быстрое питание,Шаурма,"Павлодарская, 136/4, Алматы"
Tokyo sushi,сеть суши-баров,Средний чек 2500 тнг,"Абылай хана, 27, пос. Боралдай, Илийский район, Алматинская область"
Киоск быстрого питания,Быстрое питание,Средний чек 1000 тнг,"проспект Сейфуллина, 102, Алматы"
Rose,кафе,Средний чек 1300 тнг,"Майлина, 210, Алматы"
Pappa`s pizza,кафе быстрого питания,,"Молл Апорт, Ташкентский тракт, 17к, Алматы"
Рысжан,столовая,Средний чек 700 тнг,"Паримбетова, 11а, Алматы"
Даулет,столовая,Средний чек 1000 тнг,"Алтая, 2/1, Алматы"
Киоск фастфудной продукции,Быстрое питание,,"микрорайон Жетысу-3, 25 киоск, Алматы"
Столовая,Столовые,,"микрорайон Кайрат, 181-182 к1а, Алматы"
Chicken express.kz,киоск быстрого питания,Доставка,"микрорайон Кайрат, 181-182 к1а, Алматы"
Жасмин,кафе,Средний чек 2000 тнг,"Шугыла микрорайон, 3833, Алматы"
Кафе быстрого питания,Быстрое питание,Шаурма,"Шарденова, 1а, Алматы"
TFC,кафе быстрого питания,Доставка,"Есим хана, 38а, Алматы"
SULTAN CENTR PLOVA & SHASHLYKA,кафе,Средний чек 5000 тнг,"Жибек Жолы, 2г, с. Туздыбастау, Талгарский район, Алматинская область"
Хикмет,столовая,Доставка,"Водник 1, 16, пос. Боралдай, Илийский район, Алматинская область"
Hot Spot,кафе,Средний чек 1500 тнг,"Керей-Жәнібек хандар, 640/1, Алматы"
Marmaris doner,кафе быстрого питания,Средний чек 2400 тнг,"Макашева, 1, Каскелен, Карасайский район, Алматинская область"
Сәруер,кафе,Средний чек 3000 тнг,"Мамбетова, 184, Алматы"
Столовая,Столовые,,"Райымбек батыра, 165/7, с. Бесагаш, Талгарский район, Алматинская область"
Мара,столовая,,"Нурпеисова, 228Б, Алматы"
Elen Park,семейный ресторан,Средний чек 4000 тнг,"Райымбека, 153а, Каскелен, Карасайский район, Алматинская область"
Столовая,ИП Жилдербаева,Средний чек 500 тнг,"проспект Рыскулова, 276а, Алматы"
Чайхана,Быстрое питание,,"Райымбек батыра, 165/5, с. Бесагаш, Талгарский район, Алматинская область"
в буфете Здорово!,столовая,,"ЖК Спутник, микрорайон Мамыр 1, 29/3, Алматы"
Pizza Italiano,пиццерия,Средний чек 2000 тнг,"ТРЦ MART, Рихарда Зорге, 18/4, Алматы"
Тандырная,киоск быстрого питания,,"Павлодарская, 110, Алматы"
Достар,кафе,Средний чек 2500 тнг,"проспект Абылай хана, 1д/1, Каскелен, Карасайский район, Алматинская область"
Izmir,кафе быстрого питания,Средний чек 1000 тнг,"Алатау, 2г, пос. Боралдай, Илийский район, Алматинская область"
Hello doner,кафе быстрого питания,Средний чек 800 тнг,"микрорайон Жетысу-3, 2а киоск, Алматы"
Точка фастфудной продукции,Быстрое питание,,"проспект Сейфуллина, 82а, Алматы"
ХавChicken,киоск фастфудной продукции,Средний чек 3000 тнг,"Райымбека, 10Б, с. Туздыбастау, Талгарский район, Алматинская область"
Ата Мекен,развлекательный комплекс,Средний чек 3500 тнг,"Жана арна, 45, с. Жанатурмыс, Карасайский район, Алматинская область"
Магазин по продаже тандырной самсы,Быстрое питание,,"Жалайыр, 31/1, Алматы"
777,кафе-бар,Средний чек 2000 тнг,"Спортивная, 1а, пос. Отеген Батыра, Илийский район, Алматинская область"
Rubleffka,столовая,,"микрорайон Кайрат, 181-182 к9Б, Алматы"
Отау,столовая,,"микрорайон Кайрат, 181-182 к9Б, Алматы"
Баян,кафе быстрого питания,,"Ауэзовой, 13/1, Алматы"
Sushi Zza premiere,кафе быстрого питания,Средний чек 2000 тнг,"ЖК Премьера, Шугыла микрорайон, 29, Алматы"
Зефир,кафе быстрого питания,,"Байзак батыра, 45а, Алматы"
Минутка,столовая,,"Осипенко, 7а, Алматы"
SALAM BRO,сеть кафе и киосков быстрого питания,,"Кунаева, 84, Талгар, Талгарский район, Алматинская область"
Сарай-Бар,кафе,Средний чек 5000 тнг,"Керей-Жәнібек хандар, 640, Алматы"
Grelka,ресто-бар,Средний чек 7000 тнг,"Керей-Жәнібек хандар, 640/3, Алматы"
Master Doner-chi,кафе быстрого питания,,"шоссе Северное Кольцо, 70в, Алматы"
Грецкий орех,кафе,,"Алма-Арасан, 106Б, Алматы"
Кымызхана,кафе,Средний чек 2500 тнг,"Коктем, 138, с. Кыргауылды, Карасайский район, Алматинская область"
ПОЛЯНА,гостиничный комплекс,Средний чек 3500 тнг,"трасса Алматы-Капчагай, 21/1, Алматы"
Asyl food coffee,сеть экспресс-кофеен,Средний чек 1000 тнг,"микрорайон Нұркент, 1/2 киоск, Алматы"
Береке,ресторан,Средний чек 1200 тнг,"Валиханова, 1Б, с. Гульдала, Талгарский район, Алматинская область"
Премьера суши,служба доставки суши,Средний чек 2000 тнг,"Жуалы, 153, Алматы"
Шахин,кафе,,"Бекболата, 20Б, Алматы"
Киоск по продаже тандырных лепешек,Быстрое питание,Куры-гриль,"Хакимжановой, 2 киоск, Алматы"
TAKO SUSHI,суши-бар,Средний чек 2000 тнг,"Заманбека Батталханова, 6, пос. Отеген Батыра, Илийский район, Алматинская область"
Chicker`Z,кафе быстрого питания,Средний чек 1500 тнг,"ТФЦ MART Village, Рихарда Зорге, 18, Алматы"
Керемет,кафе,Средний чек 2500 тнг,"микрорайон Кокжиек, 20а, Алматы"
Точка фастфудной продукции,Быстрое питание,,"Бенберина, 42/1, Алматы"
Гулдер,кафе,Средний чек 2500 тнг,"Титова, 10а, пос. Отеген Батыра, Илийский район, Алматинская область"
TASTY burger pizza,кафе быстрого питания,Доставка,"микрорайон Жетысу-4, 32/2, Алматы"
Береке,столовая,,"микрорайон Аксай 4, 20Б, Алматы"
Столовая,Столовые,,"Байдыбек би, 281/1, Алматы"
Точка фастфудной продукции,Быстрое питание,Шаурма,"микрорайон Аксай 1, 15/3, Алматы"
Столовая,Столовые,Средний чек 800 тнг,"микрорайон Аксай 4, 22Б, Алматы"
Ailan,столовая,Средний чек 800 тнг,"Фаризы Онгарсыновой, 136/8, Алматы"
Алянура,кафе уйгурской кухни,,"ТФЦ MART Village, Рихарда Зорге, 18, Алматы"
Нурлы,ресторан,,"Яссауи, 64, Алматы"
Grand Taý,ресторан,,"Кобелекова, 1/1а, Каскелен, Карасайский район, Алматинская область"
Tutti Pizza,пиццерия,Средний чек 2500 тнг,"ТЦ Grey, Сырым Датұлы, 57, Алматы"
Miami Food,кафе быстрого питания,Доставка,"Молл Апорт, Ташкентский тракт, 17к, Алматы"
Турксиб,кафе,Средний чек 550 тнг,"ТЦ Турксиб, Бартольда, 42, Алматы"
Асыл,столовая,Средний чек 600 тнг,"Бауыржана Момышулы, 23в, Алматы"
Katrinfood,столовая,Доставка,"Райымбек батыра, 157, с. Бесагаш, Талгарский район, Алматинская область"
Drive cafe,кофейня,Средний чек 1500 тнг,"Талгарский тракт, 8, Алматы"
Versheena 3180,ресторан,,"Керей-Жәнібек хандар, 640г, Алматы"
Ак Жолтай,кафе,Средний чек 1500 тнг,"Кульджинский тракт, 9/6, Алматы"
Коко,кафе быстрого питания,Средний чек 800 тнг,"100-я, 602а, Алматы"
Айгерим,кафе,Средний чек 1000 тнг,"Ақсуат, 118, Алматы"
Городок,шашлычная,Средний чек 3000 тнг,"Павлодарская, 112, Алматы"
Киоск по продаже кур-гриль,Быстрое питание,Куры-гриль,"Бекболата, 28/1, Алматы"
Zhansulu,кафе,,"Сыргабековой, 2/1, с. Туздыбастау, Талгарский район, Алматинская область"
Gold Coast,центр пляжного спорта и отдыха,Доставка,"Кенжетаева, 156, Алматы"
Столовая,Столовые,Средний чек 500 тнг,"Жалайыр, 197а, Алматы"
Сауле,столовая,,"Байдыбек би, 255, Алматы"
Даулет,кафе,Средний чек 2500 тнг,"Самен батыра, 37а, пос. Отеген Батыра, Илийский район, Алматинская область"
Динара,экспресс-кафе,,"Алматы-1, Станционная, 1, Алматы"
Big Bro Doner,кафе быстрого питания,Доставка,"Осипенко, 14Б, Алматы"
Zheka`s Doner,сеть кафе быстрого питания,Средний чек 1500 тнг,"Кунаева, 84/3 киоск, Талгар, Талгарский район, Алматинская область"
Гуанз,столовая,,"Байдыбек би, 108а, Алматы"
Жанболат,шашлычная,,"Айнабулак 3-й микрорайон, 117Б, Алматы"
Dontuni,кафе быстрого питания,Шаурма,"Таргап, 121, Алматы"
LL,кафе,Шаурма · Доставка,"Жандосова, 2а, Алматы"
Алихан,кафе быстрого питания,,"Жанкожа батыра, 89, Алматы"
Киоск фастфудной продукции,Быстрое питание,,"Айнабулак 3-й микрорайон, 98Б киоск, Алматы"
Столовая,Столовые,Средний чек 700 тнг,"Садовый бульвар, 1Б/1, Алматы"
Алтын Алан,комплекс,Средний чек 3500 тнг,"Абая, 26а, с. Коянкус, Илийский район, Алматинская область"
Satti,кафе,,"Айналмалы, 1Б, Алматы"
Столовая,Столовые,Средний чек 800 тнг,"микрорайон Аксай 3, 1/2, Алматы"
Киоск по продаже баурсаков,Быстрое питание,,"Айнабулак 2-й микрорайон, 65Б/1, Алматы"
Асем,столовая,,"рынок Казына, шоссе Северное Кольцо, 34, Алматы"
Villa Rossa,ресто-бар,Средний чек 4000 тнг,"Жансугурова, 130, пос. Отеген Батыра, Илийский район, Алматинская область"
Киоск быстрого питания,Быстрое питание,Куры-гриль · Шаурма,"Бекболата, 1/9, Алматы"
Нурлы Тан,столовая,,"Байдыбек би, 135/1, Алматы"
Peri Peri,сеть кафе быстрого питания,Доставка,"ТРЦ MART, Рихарда Зорге, 18/4, Алматы"
Жанна,столовая,,"Байдыбек би, 131/1, Алматы"
Летнее кафе,Кафе,Средний чек 3000 тнг,"Яссауи, 164, Алматы"
Aslan,кафе,,"Земнухова, 18, Алматы"
Ашир,столовая,,"Павлодарская, 82, Алматы"
100 love,столовая,Средний чек 1200 тнг,"Кенесары хана, 54, Алматы"
Столовая,Столовые,,"Жандосова, 8, Алматы"
Асыл,столовая,,"Керуентау, 2/1, Алматы"
Bro best bagets,кафе быстрого питания,,"Кенесары хана, 44, Алматы"
Шашлычная,Кафе,Средний чек 2500 тнг,"Айнабулак 3-й микрорайон, 103а, Алматы"
Точка фастфудной продукции,Быстрое питание,Шаурма,"Айнабулак 3-й микрорайон, 88а, Алматы"
Магазин фастфудной продукции,Быстрое питание,,"Яссауи, 64, Алматы"
Киоск быстрого питания,Быстрое питание,,"Яссауи, 64, Алматы"
Байолке,столовая,,"Байдыбек би, 151/1, Алматы"
Точка быстрого питания,Быстрое питание,Шаурма,"проспект Райымбека, 542, Алматы"
Сеним,лагманхана,Средний чек 1000 тнг,"Кунаева, 202, Талгар, Талгарский район, Алматинская область"
Киоск по продаже фастфудной продукции,Быстрое питание,,"Сарайшык, 28а киоск, Алматы"
Pizza Milana,пиццерия,,"ТФЦ MART Village, Рихарда Зорге, 18, Алматы"
RaFamily_kz,кафе быстрого питания,Средний чек 1500 тнг,"Райымбек батыра, 8, с. Туздыбастау, Талгарский район, Алматинская область"
Бариска,кофейня,,"Майлина, 73, Алматы"
Degirmen express,кафе быстрого питания,,"Алматы-1, Станционная, 1, Алматы"
Мечта,кафе,,"Ташкентский тракт, 2/1, Алматы"
Shaihana,Кафе,,"Жансугурова, 1а/4, пос. Отеген Батыра, Илийский район, Алматинская область"
Уш терек,кафе,Средний чек 3500 тнг,"Ташкентский тракт, 18/3, Алматы"
Ташкент палауы,столовая,,"Рихарда Зорге, 2в, Алматы"
Киоск быстрого питания,Быстрое питание,,"микрорайон Жас Канат, 280/1 киоск, Алматы"
Карлыгаш,кафе,Средний чек 2000 тнг,"Майлина, 13, Алматы"
Наурыз,кафе,Средний чек 1500 тнг,"Кожабекова, 7138, с. Коксай, Карасайский район, Алматинская область"
Жастар,столовая,Средний чек 1000 тнг,"Жандосова, 1/12, Алматы"
Два ЯПОНЦА,служба доставки,,"Алатау, 4г, пос. Боралдай, Илийский район, Алматинская область"
Altyn,кафе,,"проспект Суюнбая, 192а, Алматы"
Киоск быстрого питания,Быстрое питание,,"Жансугурова, 591 киоск, Алматы"
У Ереке,столовая,Средний чек 500 тнг,"Алтая, 61, Алматы"
Бай,кафе,Средний чек 1000 тнг,"Абая, 33, пос. Отеген Батыра, Илийский район, Алматинская область"
Столовая,ИП Беремкулова С.М.,,"ТЦ AutoCity, микрорайон Аксай 3Б, 1Б, Алматы"
Столовая,Столовые,Средний чек 2000 тнг,"7-я, 38а, Алматы"
Avangard,кафе,Средний чек 1700 тнг,"Бирлик, 76, с. Кыргауылды, Карасайский район, Алматинская область"
Киоск быстрого питания,Быстрое питание,,"Бекболата, 26 киоск, Алматы"
Doner don,кафе быстрого питания,,"Хан шатыр, 273 киоск, Алматы"
Ниагар,кафе,Средний чек 1850 тнг,"Алматинская, 131, с. Покровка, Илийский район, Алматинская область"
Охота,трактир,Средний чек 3500 тнг,"Наурызбай батыра, 10а/1, Каскелен, Карасайский район, Алматинская область"
Дастархан,столовая,Средний чек 700 тнг,"микрорайон Саялы, 18, Алматы"
Ильяс,столовая,,"Проектируемая, 15/5, Алматы"
777,комплекс,Средний чек 2000 тнг,"Жибек Жолы, 3, с. Белбулак, Талгарский район, Алматинская область"
Mr.Burger & Pizza,фастфуд-кафе,,"Молл Апорт, Ташкентский тракт, 17к, Алматы"
Киоск фастфудной продукции,Быстрое питание,,"Айнабулак 3-й микрорайон, 129а киоск, Алматы"
Киоск фастфудной продукции,Быстрое питание,,"Акан Серы, 21 киоск, Алматы"
Asyl food coffee,сеть экспресс-кофеен,Средний чек 1000 тнг,"микрорайон Баянауыл, 57 киоск, Алматы"
Лагманхана,Столовые,Доставка,"Азербаева, 102, пос. Боралдай, Илийский район, Алматинская область"
BAR BOSS,кафе-бар,Средний чек 3500 тнг,"ТЦ Grey, Сырым Датұлы, 57, Алматы"
Киоск по продаже фастфудной продукции,Быстрое питание,,"Райымбек батыра, 108Б киоск, с. Бесагаш, Талгарский район, Алматинская область"
Айнур,лагманхана,,"Акниет, 19, с. Кемертоган, Карасайский район, Алматинская область"
Yerkenaz,столовая,Средний чек 400 тнг,"Сабденова, 13/2, Алматы"
Катюша тандыр,кафе быстрого питания,,"Айнабулак 3-й микрорайон, 159 киоск, Алматы"
QFC_Kaskelen,служба доставки еды,Доставка,"Аубая Байгазиева, 139а, Каскелен, Карасайский район, Алматинская область"
НАР,кафе,,"Тау Самалы, 1/67"
Столовая,ИП RAN,Средний чек 1000 тнг,"Майлина, 79в"
Яшлык,кафе,Средний чек 1500 тнг,"Жайсаң, 50/1"
Точка фастфудной продукции,Быстрое питание,,"Майлина, 71"
Кафе,Кафе,,"Павлодарская, 27"
Киоск по продаже самсы,Быстрое питание,,"Жанкожа батыра, 139/1 киоск"
Chicken-master,киоск быстрого питания,,"Жанкожа батыра, 204"
Киоск быстрого питания,Быстрое питание,Шаурма,"Жанкожа батыра, 147/2"
Магазин по продаже тандырной самсы и курицы-гриль,Быстрое питание,Куры-гриль,"Жанкожа батыра, 153"
Гастроном Pizza & Sushi,кафе быстрого питания,,"микрорайон Кокжиек, 57"
Столовая,Столовые,,"Отемисулы, 158/1"
Блинная,Быстрое питание,,"Абрикос, Молдагалиева, 2/1"
Киоск фастфудной продукции,Быстрое питание,,"Абрикос, Молдагалиева, 2/1, Алматы"
Profus Coffe & snacks,кафе быстрого питания,Средний чек 1000 тнг,"Керей-Жәнібек хандар, 640/1 киоск, Алматы"
SALAM BRO,сеть кафе и киосков быстрого питания,,"10 лет Независимости, 51 киоск, Каскелен, Карасайский район, Алматинская область"
Кулинария,Быстрое питание,,"Сеитова, 3/1, Алматы"
Euphoria,ресторанный комплекс,,"Рыскулова, 89, Талгар, Талгарский район, Алматинская область"
Gres Doner,кафе быстрого питания,Средний чек 1000 тнг,"Титова, 45/1, пос. Отеген Батыра, Илийский район, Алматинская область"
Вкусно-Алматы,столовая,Бизнес-ланч · Доставка,"Гёте, 257/7, Алматы"
Башир,кафе,,"Умбетали, 124, Каскелен, Карасайский район, Алматинская область"
Tasty food,кафе быстрого питания,,"Водник 1, 15а, пос. Боралдай, Илийский район, Алматинская область"
BAZAR,столовая,,"Шоссейная, 1/5, с. Спецгородок, Алматинская область"
As Bolsyn,кафе,Доставка,"Алатау, 2г/1, пос. Боралдай, Илийский район, Алматинская область"
Mr.Doner,кафе быстрого питания,,"Водник 1, 42а, пос. Боралдай, Илийский район, Алматинская область"
Синь Цзянь,кафе,Средний чек 1500 тнг,"Центральная, 28/1, рзд 71-й, Карасайский район, Алматинская область"
Столовая,Столовые,,"проспект Райымбека, 550а, Алматы"
Алтын Уя,ресторан,Средний чек 6000 тнг,"Аубая Байгазиева, 200, Каскелен, Карасайский район, Алматинская область"
Coffee MAN,экспресс-кофейня,Средний чек 700 тнг,"Акан Серы, 11, Алматы"
Уют,кафе,Средний чек 1000 тнг,"Бостанова, 4, пос. Боралдай, Илийский район, Алматинская область"
Инка-самса,точка быстрого питания,Средний чек 500 тнг,"Мөңке би, 8, Алматы"
Cheesy,кафе быстрого питания,Доставка,"Алматинская, 66, с. Туймебаева, Илийский район, Алматинская область"
АлиБаба,шашлычная,,"Кунаева, 101, Талгар, Талгарский район, Алматинская область"
Japonica,суши-бар,,"проспект Абылай хана, 84, Каскелен, Карасайский район, Алматинская область"
Суширис,кафе,Доставка,"Казангапа, 4, Талгар, Талгарский район, Алматинская область"
Блинная,Кафе,Средний чек 1000 тнг,"микрорайон Аккент, 32, Алматы"
Чай-Пай,кафе,,"Жана курылыс, 326а, Алматы"
Чай Май+,закусочная,,"Талант, 8а, Алматы"
Degirmen,кафе быстрого питания,Шаурма · Доставка,"проспект Абылай хана, 66д, Каскелен, Карасайский район, Алматинская область"
SUSHI & ROLL`S,суши-бар,,"Молл Апорт, Ташкентский тракт, 17к, Алматы"
Мирас,кафе,Средний чек 2500 тнг,"микрорайон Жулдыз-1, 18а, Алматы"
Той Дәмі,сеть кулинарий,,"Верхняя Каскеленская трасса, 32, Алматы"
Жибек жолы,кафе,Средний чек 1500 тнг,"Ақсуат, 12, Алматы"
Самал,столовая,Средний чек 650 тнг,"шоссе Северное Кольцо, 53в/1, Алматы"
У Наргизы,лагманхана,Средний чек 700 тнг,"Гагарина, 1, пос. Боралдай, Илийский район, Алматинская область"
Кафе быстрого питания,Быстрое питание,Средний чек 1000 тнг,"Рыскулова, 90/3, Алматы"
Бутик по продаже мороженого,Мороженое,,"проспект Сейфуллина, 9а/1, Алматы"
Eurasia,кафе-бар,Средний чек 3000 тнг,"Кульджинский тракт, 1/5, Алматинская область"
Асыл,столовая,,"Майлина, 85, Алматы"
Центр Шашлыка,кафе,Доставка,"Кунаева, 55а, Талгар, Талгарский район, Алматинская область"
tandyr_almaty,кафе,,"Дала, 147, Алматы"
Ак ниет,комплекс,,"трасса Алматы-Бишкек, 23, Алматинская область"
Столовая,ИП София,,"Бекмаханова, 33, Алматы"
Столовая,Столовые,,"проспект Суюнбая, 353/1, Алматы"
Ален Смак,столовая,Средний чек 800 тнг,"Рихарда Зорге, 9а, Алматы"
Go Bar,суши-бар,,"Кайназар батыра, 46, Каскелен, Карасайский район, Алматинская область"
Mr.Donerci Ashibulak,кафе быстрого питания,Средний чек 1500 тнг,"Алматинская, 2г, с. Туймебаева, Илийский район, Алматинская область"
Отличная столовая,Столовые,Средний чек 900 тнг,"Бережинского, 4 к2, с. КазЦик, Илийский район, Алматинская область"
Шашлычный двор,кафе,Средний чек 1500 тнг,"Жансугурова, 121, пос. Отеген Батыра, Илийский район, Алматинская область"
Пиццерия,Пиццерии,Доставка,"ЖК Гульдер, Абишева, 36/5, Алматы"
Казанат,кафе,Средний чек 1200 тнг,"Рыскулова, 2а/1, с. Шамалган, Карасайский район, Алматинская область"
Столовая,Столовые,,"проспект Суюнбая, 501, Алматы"
Столовая,Столовые,,"Бекмаханова, 96/4, Алматы"
Уш Батыр,столовая,Доставка,"Малинка, 60а, Алматы"
Manis,кафе,,"Райымбек батыра, 16, с. Туздыбастау, Талгарский район, Алматинская область"
A & S,кафе,Средний чек 2500 тнг,"Тынышбаева, 22, Алматы"
777,кафе,,"Асыл Арман, 1а, с. Иргели, Карасайский район, Алматинская область"
Chicken express.kz,киоск быстрого питания,Доставка,"Аптечная, 2в киоск, с. Туймебаева, Илийский район, Алматинская область"
NurDan Wash Service,автомойка,,"Майлина, 79/1, Алматы"
Алдияр,кафе,,"Дунентаева, 18в, Алматы"
Misafir,кафе быстрого питания,,"Алматы-1, Станционная, 1, Алматы"
Чай Кофе,пункт общественного питания,,"Алматы-1, Станционная, 1, Алматы"
Айым,комплекс,,"Алма-Арасан Ущелье, 6, Алматы"
Dostyq,кафе,,"Станционная, 7, Алматы"
Pizza Italiano,пиццерия,Средний чек 2000 тнг,"Молл Апорт, Ташкентский тракт, 17к, Алматы"
PABLO,служба доставки еды,,"Витковского, 1а, пос. Отеген Батыра, Илийский район, Алматинская область"
Лагманная,Кафе,,"Красногорская, 573а, Алматы"
Эли,лагманхана,Доставка,"Абая, 23/2, пос. Отеген Батыра, Илийский район, Алматинская область"
НАШ НАШ,суши-бар,,"Алматинская, 148, с. Туймебаева, Илийский район, Алматинская область"
Столовая,Столовые,,"переулок Клары Цеткин, 4/1, Алматы"
Make Burger,кафе,Доставка,"Тау Самалы, 4а, с. Кыргауылды, Карасайский район, Алматинская область"
Жаңа,комплекс,Бизнес-ланч,"Муратбаева, 12, Талгар, Талгарский район, Алматинская область"
Аружан,ресторан,Средний чек 5000 тнг,"Талгарский тракт, 12в, Алматы"
Shahar,кафе,,"улица Абылай Хана, 96, Талгар, Талгарский район, Алматинская область"
ITALIANO VERO,кафе быстрого питания,,"Молл Апорт, Ташкентский тракт, 17к, Алматы"
Шарапат,кафе,,"микрорайон Жулдыз-2, 20, Алматы"
Рамазан,кафе быстрого питания,Средний чек 2000 тнг,"Есим хана, 77а, Алматы"
Магазин быстрого питания,Быстрое питание,Куры-гриль,"Обозная, 16Б, Алматы"
Киоск быстрого питания,Быстрое питание,,"Кыдырбекова, 43, Алматы"
Tengri Cafe,кафе,Средний чек 3000 тнг,"Медеу, Керей-Жәнібек хандар, 465, Алматы"
Столовая,Столовые,,"микрорайон Калкаман-2, 13, Алматы"
Makimaki Talgar,кафе быстрого питания,Доставка,"Кунаева, 201, Талгар, Талгарский район, Алматинская область"
Эдельвейс,столовая,,"Бартольда, 144, Алматы"
Столовая,Столовые,,"Ашимова, 1/8, Алматы"
Savage beats,кафе быстрого питания,Средний чек 800 тнг,"Бирлик, 39а, с. Кыргауылды, Карасайский район, Алматинская область"
Аманат,лагманхана,,"проспект Абылай хана, 26Б, Каскелен, Карасайский район, Алматинская область"
Кафе быстрого питания,Быстрое питание,,"Ашимова, 1/8, Алматы"
Coffee&Tea,столовая,,"Ашимова, 20Б, Алматы"
Serra,кафе,Средний чек 2000 тнг,"проспект Абылай хана, 139, Каскелен, Карасайский район, Алматинская область"
DONER.MOUSSAKA,кафе быстрого питания,Средний чек 700 тнг,"Райымбек батыра, 2г, с. Бесагаш, Талгарский район, Алматинская область"
Carzona08,кафе быстрого питания,Доставка,"Кульджинский тракт, 1554а, Алматинская область"
Dala Food,кафе,,"Центральная, 63/1, рзд 71-й, Карасайский район, Алматинская область"
Кристалл,комплекс,,"Балкаш, 4а, Каскелен, Карасайский район, Алматинская область"
PIZZBURG,кафе быстрого питания,Средний чек 1750 тнг,"Молл Апорт, Ташкентский тракт, 17к, Алматы"
Столовая,Столовые,,"Павлодарская, 7/2, Алматы"
Киоск по продаже кур-гриль,Быстрое питание,Куры-гриль,"Орталык, 11а, Алматы"
Восток,столовая,Средний чек 1000 тнг,"Ташкентский тракт, 17к/1, Алматы"
Timkin`s,бар,Доставка,"Асыл Арман, 7, с. Иргели, Карасайский район, Алматинская область"
BRACHO,стрит-фуд,Средний чек 1500 тнг,"Керей-Жәнібек хандар, 640/1 киоск, Алматы"
Русская изба,кафе быстрого питания,,"Керей-Жәнібек хандар, 640/2 киоск, Алматы"
Hot coffee,кафе быстрого питания,,"Керей-Жәнібек хандар, 640/1 киоск, Алматы"
Белорусская лавка,кафе быстрого питания,,"Керей-Жәнібек хандар, 640/2 киоск, Алматы"
Береке,столовая,,"Ташкентский тракт 18 км, 1/8, Алматы"
DonerDan,кафе быстрого питания,,"Ташкентский тракт 15 км, 1/11, Алматы"
Айнаш,кафе,,"Водник 2, 55Б, пос. Боралдай, Илийский район, Алматинская область"
Аэросервис,столовая,Средний чек 600 тнг,"Майлина, 13, Алматы"
Столовая,Столовые,Бизнес-ланч,"Боралдайское шоссе 3,5 км, 3, Алматы"
Данияр,кафе,,"Ташкентский тракт 18 км, 1/7, Алматы"
Astana,кафе,,"Алатау, 4д, пос. Боралдай, Илийский район, Алматинская область"
Hot Dogs Enjoy it,киоск быстрого питания,Средний чек 500 тнг,"Жуалы, 125/1 киоск, Алматы"
Алатау,ресто-бар,,"Казыбек би, 40а, с. Гульдала, Талгарский район, Алматинская область"
Киоск фастфудной продукции,Быстрое питание,,"Жуалы, 129 киоск, Алматы"
Kazoku,кафе,Средний чек 3000 тнг,"Кунаева, 6а, Талгар, Талгарский район, Алматинская область"
Версаль,ресторан,,"Кунаева, 130а, Талгар, Талгарский район, Алматинская область"
Razaliya,кафе,,"Талгарский тракт, 12Б, Алматы"
Столовая,Столовые,Средний чек 600 тнг,"рынок Самал, шоссе Северное Кольцо, 53в, Алматы"
Карлыгаш,столовая,,"Майлина, 13, Алматы"
Янтарь,шашлычная,Доставка,"Рыскулова, 140, Талгар, Талгарский район, Алматинская область"
Tabord,кофейня,Средний чек 1100 тнг,"проспект Абылай хана, 41, Каскелен, Карасайский район, Алматинская область"
BAZA616,кафе быстрого питания,Средний чек 1000 тнг,"Таутаган (СТ Алмасай), 32, Алматы"
Kallmans kaff,пиццерия,Средний чек 3000 тнг,"Таутаган (СТ Алмасай), 32, Алматы"
Raimsushi,кафе быстрого питания,Средний чек 1500 тнг,"Суюнбая, 2/3, с. Райымбек, Карасайский район, Алматинская область"
Магазин фастфудной продукции,Быстрое питание,,"Огарёва, 10, Алматы"
Good coffee,кофейня,Средний чек 1000 тнг,"Водник 2, 17, пос. Боралдай, Илийский район, Алматинская область"
Mercur,кафе,Средний чек 1200 тнг,"Илийский тракт, 617а, Алматы"
Точка быстрого питания,Быстрое питание,Средний чек 1000 тнг,"Бекмаханова, 1, Алматы"
Старый мельник,кафе,Доставка,"Барибаева, 64а, Каскелен, Карасайский район, Алматинская область"
Алтын-ай,кафе,Средний чек 2000 тнг,"Даулеткерея, 162, Алматы"
Мост,столовая,Средний чек 950 тнг,"Красногорская, 31а, Алматы"
Lord,ресторан,Средний чек 5000 тнг,"Рыскулова, 179, Талгар, Талгарский район, Алматинская область"
Кафе,Кафе,Средний чек 1000 тнг,"Карасай батыра, 27/14, с. Туздыбастау, Талгарский район, Алматинская область"
